_id,Anno,Tipo gestione,Tipologia di Area (valore in MQ),Metri Quadri
103,2015,Gestione Comunale,Giardini scolastici comunali ,1354212
104,2015,Gestione Comunale,Orti botanici,46800
105,2015,Gestione Comunale,Orti urbani,4417
106,2015,Gestione Comunale,Cimiteri,659967
107,2015,Gestione Comunale,Aree all'aperto sportive e a servizio ludico ricreativo,114968
108,2015,Gestione Comunale,Altre tipologie di verde urbano,371165
109,2015,Gestione di altri enti pubblici,Aree naturali protette,0
110,2015,Gestione di altri enti pubblici,Ville giardini e parchi,9919
111,2015,Gestione di altri enti pubblici,Parchi (giardini e ville) urbani,4495196
112,2015,Gestione di altri enti pubblici,Verde attrezzato,536846
113,2015,Gestione di altri enti pubblici,Aree di arredo urbano,146348
114,2015,Gestione di altri enti pubblici,Forestazione urbana,140313
115,2015,Gestione di altri enti pubblici,Giardini scolastici comunali ,24457
116,2015,Gestione di altri enti pubblici,Orti botanici,0
117,2015,Gestione di altri enti pubblici,Orti urbani,63951
118,2015,Gestione di altri enti pubblici,Cimiteri,0
119,2015,Gestione di altri enti pubblici,Aree all'aperto sportive e a servizio ludico ricreativo,40492
120,2015,Gestione di altri enti pubblici,Altre tipologie di verde urbano,111672
121,2016,Gestione Comunale,Aree naturali protette,35323
122,2016,Gestione Comunale,Ville giardini e parchi,846177
123,2016,Gestione Comunale,Parchi (giardini e ville) urbani,5426010
124,2016,Gestione Comunale,Verde attrezzato,6167635
125,2016,Gestione Comunale,Aree di arredo urbano,3432023
126,2016,Gestione Comunale,Forestazione urbana,140313
127,2016,Gestione Comunale,Giardini scolastici comunali ,1362604
128,2016,Gestione Comunale,Orti botanici,46800
129,2016,Gestione Comunale,Orti urbani,5508
130,2016,Gestione Comunale,Cimiteri,666385
131,2016,Gestione Comunale,Aree all'aperto sportive e a servizio ludico ricreativo,123199
132,2016,Gestione Comunale,Altre tipologie di verde urbano,381971
133,2016,Gestione di altri enti pubblici,Aree naturali protette,0
134,2016,Gestione di altri enti pubblici,Ville giardini e parchi,9919
135,2016,Gestione di altri enti pubblici,Parchi (giardini e ville) urbani,4509962
136,2016,Gestione di altri enti pubblici,Verde attrezzato,611908
137,2016,Gestione di altri enti pubblici,Aree di arredo urbano,159088
138,2016,Gestione di altri enti pubblici,Forestazione urbana,0
139,2016,Gestione di altri enti pubblici,Giardini scolastici comunali ,20075
140,2016,Gestione di altri enti pubblici,Orti botanici,0
141,2016,Gestione di altri enti pubblici,Orti urbani,68318
142,2016,Gestione di altri enti pubblici,Cimiteri,0
143,2016,Gestione di altri enti pubblici,Aree all'aperto sportive e a servizio ludico ricreativo,40492
144,2016,Gestione di altri enti pubblici,Altre tipologie di verde urbano,106921
145,2017,Gestione Comunale,Aree naturali protette,35323
146,2017,Gestione Comunale,Ville giardini e parchi,857866
147,2017,Gestione Comunale,Parchi (giardini e ville) urbani,5662193
148,2017,Gestione Comunale,Verde attrezzato,6253655
149,2017,Gestione Comunale,Aree di arredo urbano,3500812
150,2017,Gestione Comunale,Forestazione urbana,140313
151,2017,Gestione Comunale,Giardini scolastici comunali ,1353303
152,2017,Gestione Comunale,Orti botanici,46934
153,2017,Gestione Comunale,Orti urbani,5614
154,2017,Gestione Comunale,Cimiteri,665670
155,2017,Gestione Comunale,Aree all'aperto sportive e a servizio ludico ricreativo,112069
156,2017,Gestione Comunale,Altre tipologie di verde urbano,374718
157,2017,Gestione di altri enti pubblici,Aree naturali protette,0
158,2017,Gestione di altri enti pubblici,Ville giardini e parchi,9919
159,2017,Gestione di altri enti pubblici,Parchi (giardini e ville) urbani,4450767
160,2017,Gestione di altri enti pubblici,Verde attrezzato,558650
161,2017,Gestione di altri enti pubblici,Aree di arredo urbano,126528
162,2017,Gestione di altri enti pubblici,Forestazione urbana,0
163,2017,Gestione di altri enti pubblici,Giardini scolastici comunali ,29259
