_id,UN_VOL_AV,ID_EDIF,area,proprieta,Classifica,LONG_X_4326_CENTROID,LAT_Y_4326_CENTROID,Location
37,15.75,E00000014222,120.906,Dato non in possesso,Insediamenti residenziali,9.184872690241765,45.458250080640255,"(45.458250080640255, 9.184872690241765)"
38,25.873,E00000009084,62.393,Dato non in possesso,Insediamenti residenziali,9.17857393359994,45.45905489650596,"(45.45905489650596, 9.17857393359994)"
39,25.44,E00000014141,223.138,Dato non in possesso,Insediamenti residenziali,9.184538382231938,45.45804947284785,"(45.45804947284785, 9.184538382231938)"
40,25.149,E00000030720,232.548,Dato non in possesso,Insediamenti residenziali,9.178296284457263,45.45927555479062,"(45.45927555479062, 9.178296284457263)"
41,30.437,E00000020423,164.624,Dato non in possesso,Insediamenti residenziali,9.215747521528082,45.46838605025688,"(45.46838605025688, 9.215747521528082)"
42,4.941,E00000013957,80.0316,Dato non in possesso,Insediamenti residenziali,9.179869584741619,45.45794879083243,"(45.45794879083243, 9.179869584741619)"
43,30.42,E00000015323,292.38,Dato non in possesso,Insediamenti residenziali,9.19023979480799,45.460286228226714,"(45.460286228226714, 9.19023979480799)"
44,11.707,E00000013957,29.5753,COMUNE MILANO,Insediamenti residenziali,9.179591313414829,45.45806670517203,"(45.45806670517203, 9.179591313414829)"
45,27.309,E00000016107,102.575,Dato non in possesso,Insediamenti residenziali,9.191146382829258,45.461446741346,"(45.461446741346, 9.191146382829258)"
46,22.53,E00000014222,207.297,Dato non in possesso,Insediamenti residenziali,9.185060829411805,45.45831336678543,"(45.45831336678543, 9.185060829411805)"
47,24.815,E00000021426,472.873,Dato non in possesso,Insediamenti residenziali,9.15183617954249,45.46967849643866,"(45.46967849643866, 9.15183617954249)"
48,8.0,M00000014343,211.861,Dato non in possesso,Insediamenti residenziali,9.150704187022837,45.46785985852203,"(45.46785985852203, 9.150704187022837)"
49,4.813,M00000016123,78.9055,Dato non in possesso,Insediamenti residenziali,9.180535747453783,45.45840679892033,"(45.45840679892033, 9.180535747453783)"
50,2.519,M00000018251,68.4702,Dato non in possesso,Insediamenti residenziali,9.218007765309057,45.464930147746855,"(45.464930147746855, 9.218007765309057)"
51,21.074,E00000037882,133.781,Dato non in possesso,Insediamenti residenziali,9.19929920651434,45.50090919428919,"(45.50090919428919, 9.19929920651434)"
52,19.463,E00000037655,64.983,Dato non in possesso,Insediamenti residenziali,9.19427708780109,45.499796860650044,"(45.499796860650044, 9.19427708780109)"
53,14.971,E00000038087,107.926,Dato non in possesso,Insediamenti residenziali,9.200657260345512,45.501768276277495,"(45.501768276277495, 9.200657260345512)"
54,19.412,E00000037655,68.5261,COMUNE MILANO,Insediamenti residenziali,9.193892034836871,45.499720324127146,"(45.499720324127146, 9.193892034836871)"
55,12.921,E00000037091,129.246,Dato non in possesso,Insediamenti residenziali,9.199131730798904,45.49768683791311,"(45.49768683791311, 9.199131730798904)"
56,19.977,E00000037713,486.612,Dato non in possesso,Insediamenti residenziali,9.196131382998004,45.500250336331476,"(45.500250336331476, 9.196131382998004)"
57,6.651,E00000037655,1065.43,COMUNE MILANO,Insediamenti residenziali,9.194432414093553,45.49987208019851,"(45.49987208019851, 9.194432414093553)"
58,21.749,E00000037284,54.46,Dato non in possesso,Insediamenti residenziali,9.196985737699478,45.49858724538332,"(45.49858724538332, 9.196985737699478)"
59,30.123,E00000036442,1337.06,Dato non in possesso,Insediamenti residenziali,9.20674435149327,45.49485793952971,"(45.49485793952971, 9.20674435149327)"
60,4.918,E00000037878,109.744,Dato non in possesso,Insediamenti residenziali,9.199443965517604,45.50126021732047,"(45.50126021732047, 9.199443965517604)"
61,13.536,E00000037818,65.0657,Dato non in possesso,Insediamenti residenziali,9.200458598843634,45.501181288809235,"(45.501181288809235, 9.200458598843634)"
62,21.694,E00000037283,121.625,Dato non in possesso,Insediamenti residenziali,9.196949804631073,45.49864946864774,"(45.49864946864774, 9.196949804631073)"
63,4.597,E00000037882,101.644,Dato non in possesso,Insediamenti residenziali,9.199054764024865,45.50100936124526,"(45.50100936124526, 9.199054764024865)"
64,9.838,E00000037726,8.61359,Dato non in possesso,Insediamenti residenziali,9.201553826241819,45.50084073999895,"(45.50084073999895, 9.201553826241819)"
65,8.846,E00000037726,37.132,Dato non in possesso,Insediamenti residenziali,9.201414760444425,45.50084828586799,"(45.50084828586799, 9.201414760444425)"
66,30.255,E00000038245,236.472,Dato non in possesso,Insediamenti residenziali,9.199220429144995,45.50288481834526,"(45.50288481834526, 9.199220429144995)"
67,9.838,E00000037726,9.09143,Dato non in possesso,Insediamenti residenziali,9.2015020411426,45.500925174032595,"(45.500925174032595, 9.2015020411426)"
68,11.552,E00000037882,177.735,Dato non in possesso,Insediamenti residenziali,9.19905472723952,45.50106615216148,"(45.50106615216148, 9.19905472723952)"
69,19.272,E00000037288,93.8193,Dato non in possesso,Insediamenti residenziali,9.19767812769207,45.49848931873174,"(45.49848931873174, 9.19767812769207)"
70,4.868,E00000037878,54.9662,Dato non in possesso,Insediamenti residenziali,9.199410415186208,45.501203270569434,"(45.501203270569434, 9.199410415186208)"
71,23.666,E00000037177,54.8632,Dato non in possesso,Insediamenti residenziali,9.206374972436649,45.49684325111093,"(45.49684325111093, 9.206374972436649)"
72,18.443,E00000037713,525.736,Dato non in possesso,Insediamenti residenziali,9.196219380357538,45.500482114051856,"(45.500482114051856, 9.196219380357538)"
73,19.584,E00000037655,65.8718,Dato non in possesso,Insediamenti residenziali,9.194665766384,45.49987321670998,"(45.49987321670998, 9.194665766384)"
74,23.96,E00000037177,79.9017,Dato non in possesso,Insediamenti residenziali,9.206322559269841,45.49671557947366,"(45.49671557947366, 9.206322559269841)"
75,12.163,E00000038087,71.0896,Dato non in possesso,Insediamenti residenziali,9.20069604907911,45.50181122629165,"(45.50181122629165, 9.20069604907911)"
76,30.679,E00000037881,362.372,Dato non in possesso,Insediamenti residenziali,9.19884127480216,45.50134295824871,"(45.50134295824871, 9.19884127480216)"
77,29.007,E00000040959,62.1628,Dato non in possesso,Insediamenti residenziali,9.191154758115378,45.52151180486058,"(45.52151180486058, 9.191154758115378)"
78,12.899,E00000040993,159.279,Dato non in possesso,Insediamenti residenziali,9.198262649226004,45.52013480005529,"(45.52013480005529, 9.198262649226004)"
79,29.996,E00000041707,222.711,Dato non in possesso,Insediamenti residenziali,9.208912171450093,45.52727218018374,"(45.52727218018374, 9.208912171450093)"
80,29.288,E00000040959,71.7223,Dato non in possesso,Insediamenti residenziali,9.191279360866808,45.52143467502484,"(45.52143467502484, 9.191279360866808)"
81,23.742,E00000042007,84.9018,Dato non in possesso,Insediamenti residenziali,9.171068064059124,45.47618496573699,"(45.47618496573699, 9.171068064059124)"
82,6.108,E00000042288,114.334,Dato non in possesso,Insediamenti residenziali,9.172099934519704,45.47702018451895,"(45.47702018451895, 9.172099934519704)"
83,30.888,E00000044789,294.834,Dato non in possesso,Insediamenti residenziali,9.170451265994446,45.47813659400568,"(45.47813659400568, 9.170451265994446)"
84,16.311,E00000044769,91.4353,Dato non in possesso,Insediamenti residenziali,9.169022878649626,45.47651643042782,"(45.47651643042782, 9.169022878649626)"
85,12.43,E00000042615,129.309,Dato non in possesso,Edifici scolastici,9.171618095782573,45.47938247594933,"(45.47938247594933, 9.171618095782573)"
86,17.67,E00000042664,199.923,Dato non in possesso,Insediamenti residenziali,9.179712338693598,45.47954701526013,"(45.47954701526013, 9.179712338693598)"
87,17.64,E00000044836,96.9046,Dato non in possesso,Insediamenti residenziali,9.179359465014812,45.48006784329786,"(45.48006784329786, 9.179359465014812)"
